date,season,year,month,holiday,weekday,workingday,weather,total_user
2011-01-01,Spring,2011,Jan,0,6,0,Mist/Overcast,985
2011-01-02,Spring,2011,Jan,0,0,0,Mist/Overcast,801
2011-01-03,Spring,2011,Jan,0,1,1,Clear/Cloudy,1349
2011-01-04,Spring,2011,Jan,0,2,1,Clear/Cloudy,1562
2011-01-05,Spring,2011,Jan,0,3,1,Clear/Cloudy,1600
2011-01-06,Spring,2011,Jan,0,4,1,Clear/Cloudy,1606
2011-01-07,Spring,2011,Jan,0,5,1,Mist/Overcast,1510
2011-01-08,Spring,2011,Jan,0,6,0,Mist/Overcast,959
2011-01-09,Spring,2011,Jan,0,0,0,Clear/Cloudy,822
2011-01-10,Spring,2011,Jan,0,1,1,Clear/Cloudy,1321
2011-01-11,Spring,2011,Jan,0,2,1,Mist/Overcast,1263
2011-01-12,Spring,2011,Jan,0,3,1,Clear/Cloudy,1162
2011-01-13,Spring,2011,Jan,0,4,1,Clear/Cloudy,1406
2011-01-14,Spring,2011,Jan,0,5,1,Clear/Cloudy,1421
2011-01-15,Spring,2011,Jan,0,6,0,Mist/Overcast,1248
2011-01-16,Spring,2011,Jan,0,0,0,Clear/Cloudy,1204
2011-01-17,Spring,2011,Jan,1,1,0,Mist/Overcast,1000
2011-01-18,Spring,2011,Jan,0,2,1,Mist/Overcast,683
2011-01-19,Spring,2011,Jan,0,3,1,Mist/Overcast,1650
2011-01-20,Spring,2011,Jan,0,4,1,Mist/Overcast,1927
2011-01-21,Spring,2011,Jan,0,5,1,Clear/Cloudy,1543
2011-01-22,Spring,2011,Jan,0,6,0,Clear/Cloudy,981
2011-01-23,Spring,2011,Jan,0,0,0,Clear/Cloudy,986
2011-01-24,Spring,2011,Jan,0,1,1,Clear/Cloudy,1416
2011-01-25,Spring,2011,Jan,0,2,1,Mist/Overcast,1985
2011-01-26,Spring,2011,Jan,0,3,1,Light Rain/Snow,506
2011-01-27,Spring,2011,Jan,0,4,1,Clear/Cloudy,431
2011-01-28,Spring,2011,Jan,0,5,1,Mist/Overcast,1167
2011-01-29,Spring,2011,Jan,0,6,0,Clear/Cloudy,1098
2011-01-30,Spring,2011,Jan,0,0,0,Clear/Cloudy,1096
2011-01-31,Spring,2011,Jan,0,1,1,Mist/Overcast,1501
2011-02-01,Spring,2011,Feb,0,2,1,Mist/Overcast,1360
2011-02-02,Spring,2011,Feb,0,3,1,Mist/Overcast,1526
2011-02-03,Spring,2011,Feb,0,4,1,Clear/Cloudy,1550
2011-02-04,Spring,2011,Feb,0,5,1,Mist/Overcast,1708
2011-02-05,Spring,2011,Feb,0,6,0,Mist/Overcast,1005
2011-02-06,Spring,2011,Feb,0,0,0,Clear/Cloudy,1623
2011-02-07,Spring,2011,Feb,0,1,1,Clear/Cloudy,1712
2011-02-08,Spring,2011,Feb,0,2,1,Clear/Cloudy,1530
2011-02-09,Spring,2011,Feb,0,3,1,Mist/Overcast,1605
2011-02-10,Spring,2011,Feb,0,4,1,Clear/Cloudy,1538
2011-02-11,Spring,2011,Feb,0,5,1,Clear/Cloudy,1746
2011-02-12,Spring,2011,Feb,0,6,0,Clear/Cloudy,1472
2011-02-13,Spring,2011,Feb,0,0,0,Clear/Cloudy,1589
2011-02-14,Spring,2011,Feb,0,1,1,Clear/Cloudy,1913
2011-02-15,Spring,2011,Feb,0,2,1,Clear/Cloudy,1815
2011-02-16,Spring,2011,Feb,0,3,1,Clear/Cloudy,2115
2011-02-17,Spring,2011,Feb,0,4,1,Clear/Cloudy,2475
2011-02-18,Spring,2011,Feb,0,5,1,Clear/Cloudy,2927
2011-02-19,Spring,2011,Feb,0,6,0,Clear/Cloudy,1635
2011-02-20,Spring,2011,Feb,0,0,0,Clear/Cloudy,1812
2011-02-21,Spring,2011,Feb,1,1,0,Mist/Overcast,1107
2011-02-22,Spring,2011,Feb,0,2,1,Clear/Cloudy,1450
2011-02-23,Spring,2011,Feb,0,3,1,Clear/Cloudy,1917
2011-02-24,Spring,2011,Feb,0,4,1,Mist/Overcast,1807
2011-02-25,Spring,2011,Feb,0,5,1,Mist/Overcast,1461
2011-02-26,Spring,2011,Feb,0,6,0,Clear/Cloudy,1969
2011-02-27,Spring,2011,Feb,0,0,0,Clear/Cloudy,2402
2011-02-28,Spring,2011,Feb,0,1,1,Mist/Overcast,1446
2011-03-01,Spring,2011,Mar,0,2,1,Clear/Cloudy,1851
2011-03-02,Spring,2011,Mar,0,3,1,Clear/Cloudy,2134
2011-03-03,Spring,2011,Mar,0,4,1,Clear/Cloudy,1685
2011-03-04,Spring,2011,Mar,0,5,1,Mist/Overcast,1944
2011-03-05,Spring,2011,Mar,0,6,0,Mist/Overcast,2077
2011-03-06,Spring,2011,Mar,0,0,0,Mist/Overcast,605
2011-03-07,Spring,2011,Mar,0,1,1,Clear/Cloudy,1872
2011-03-08,Spring,2011,Mar,0,2,1,Clear/Cloudy,2133
2011-03-09,Spring,2011,Mar,0,3,1,Mist/Overcast,1891
2011-03-10,Spring,2011,Mar,0,4,1,Light Rain/Snow,623
2011-03-11,Spring,2011,Mar,0,5,1,Mist/Overcast,1977
2011-03-12,Spring,2011,Mar,0,6,0,Clear/Cloudy,2132
2011-03-13,Spring,2011,Mar,0,0,0,Clear/Cloudy,2417
2011-03-14,Spring,2011,Mar,0,1,1,Clear/Cloudy,2046
2011-03-15,Spring,2011,Mar,0,2,1,Mist/Overcast,2056
2011-03-16,Spring,2011,Mar,0,3,1,Mist/Overcast,2192
2011-03-17,Spring,2011,Mar,0,4,1,Clear/Cloudy,2744
2011-03-18,Spring,2011,Mar,0,5,1,Clear/Cloudy,3239
2011-03-19,Spring,2011,Mar,0,6,0,Clear/Cloudy,3117
2011-03-20,Spring,2011,Mar,0,0,0,Clear/Cloudy,2471
2011-03-21,Summer,2011,Mar,0,1,1,Mist/Overcast,2077
2011-03-22,Summer,2011,Mar,0,2,1,Clear/Cloudy,2703
2011-03-23,Summer,2011,Mar,0,3,1,Mist/Overcast,2121
2011-03-24,Summer,2011,Mar,0,4,1,Mist/Overcast,1865
2011-03-25,Summer,2011,Mar,0,5,1,Clear/Cloudy,2210
2011-03-26,Summer,2011,Mar,0,6,0,Clear/Cloudy,2496
2011-03-27,Summer,2011,Mar,0,0,0,Mist/Overcast,1693
2011-03-28,Summer,2011,Mar,0,1,1,Clear/Cloudy,2028
2011-03-29,Summer,2011,Mar,0,2,1,Clear/Cloudy,2425
2011-03-30,Summer,2011,Mar,0,3,1,Mist/Overcast,1536
2011-03-31,Summer,2011,Mar,0,4,1,Light Rain/Snow,1685
2011-04-01,Summer,2011,Apr,0,5,1,Mist/Overcast,2227
2011-04-02,Summer,2011,Apr,0,6,0,Mist/Overcast,2252
2011-04-03,Summer,2011,Apr,0,0,0,Clear/Cloudy,3249
2011-04-04,Summer,2011,Apr,0,1,1,Clear/Cloudy,3115
2011-04-05,Summer,2011,Apr,0,2,1,Mist/Overcast,1795
2011-04-06,Summer,2011,Apr,0,3,1,Clear/Cloudy,2808
2011-04-07,Summer,2011,Apr,0,4,1,Clear/Cloudy,3141
2011-04-08,Summer,2011,Apr,0,5,1,Mist/Overcast,1471
2011-04-09,Summer,2011,Apr,0,6,0,Mist/Overcast,2455
2011-04-10,Summer,2011,Apr,0,0,0,Mist/Overcast,2895
2011-04-11,Summer,2011,Apr,0,1,1,Mist/Overcast,3348
2011-04-12,Summer,2011,Apr,0,2,1,Mist/Overcast,2034
2011-04-13,Summer,2011,Apr,0,3,1,Mist/Overcast,2162
2011-04-14,Summer,2011,Apr,0,4,1,Clear/Cloudy,3267
2011-04-15,Summer,2011,Apr,1,5,0,Clear/Cloudy,3126
2011-04-16,Summer,2011,Apr,0,6,0,Light Rain/Snow,795
2011-04-17,Summer,2011,Apr,0,0,0,Clear/Cloudy,3744
2011-04-18,Summer,2011,Apr,0,1,1,Clear/Cloudy,3429
2011-04-19,Summer,2011,Apr,0,2,1,Mist/Overcast,3204
2011-04-20,Summer,2011,Apr,0,3,1,Clear/Cloudy,3944
2011-04-21,Summer,2011,Apr,0,4,1,Clear/Cloudy,4189
2011-04-22,Summer,2011,Apr,0,5,1,Mist/Overcast,1683
2011-04-23,Summer,2011,Apr,0,6,0,Mist/Overcast,4036
2011-04-24,Summer,2011,Apr,0,0,0,Mist/Overcast,4191
2011-04-25,Summer,2011,Apr,0,1,1,Clear/Cloudy,4073
2011-04-26,Summer,2011,Apr,0,2,1,Clear/Cloudy,4400
2011-04-27,Summer,2011,Apr,0,3,1,Mist/Overcast,3872
2011-04-28,Summer,2011,Apr,0,4,1,Mist/Overcast,4058
2011-04-29,Summer,2011,Apr,0,5,1,Clear/Cloudy,4595
2011-04-30,Summer,2011,Apr,0,6,0,Clear/Cloudy,5312
2011-05-01,Summer,2011,May,0,0,0,Mist/Overcast,3351
2011-05-02,Summer,2011,May,0,1,1,Mist/Overcast,4401
2011-05-03,Summer,2011,May,0,2,1,Mist/Overcast,4451
2011-05-04,Summer,2011,May,0,3,1,Mist/Overcast,2633
2011-05-05,Summer,2011,May,0,4,1,Clear/Cloudy,4433
2011-05-06,Summer,2011,May,0,5,1,Clear/Cloudy,4608
2011-05-07,Summer,2011,May,0,6,0,Clear/Cloudy,4714
2011-05-08,Summer,2011,May,0,0,0,Clear/Cloudy,4333
2011-05-09,Summer,2011,May,0,1,1,Clear/Cloudy,4362
2011-05-10,Summer,2011,May,0,2,1,Clear/Cloudy,4803
2011-05-11,Summer,2011,May,0,3,1,Clear/Cloudy,4182
2011-05-12,Summer,2011,May,0,4,1,Clear/Cloudy,4864
2011-05-13,Summer,2011,May,0,5,1,Mist/Overcast,4105
2011-05-14,Summer,2011,May,0,6,0,Mist/Overcast,3409
2011-05-15,Summer,2011,May,0,0,0,Mist/Overcast,4553
2011-05-16,Summer,2011,May,0,1,1,Clear/Cloudy,3958
2011-05-17,Summer,2011,May,0,2,1,Mist/Overcast,4123
2011-05-18,Summer,2011,May,0,3,1,Mist/Overcast,3855
2011-05-19,Summer,2011,May,0,4,1,Mist/Overcast,4575
2011-05-20,Summer,2011,May,0,5,1,Clear/Cloudy,4917
2011-05-21,Summer,2011,May,0,6,0,Clear/Cloudy,5805
2011-05-22,Summer,2011,May,0,0,0,Clear/Cloudy,4660
2011-05-23,Summer,2011,May,0,1,1,Mist/Overcast,4274
2011-05-24,Summer,2011,May,0,2,1,Mist/Overcast,4492
2011-05-25,Summer,2011,May,0,3,1,Clear/Cloudy,4978
2011-05-26,Summer,2011,May,0,4,1,Clear/Cloudy,4677
2011-05-27,Summer,2011,May,0,5,1,Clear/Cloudy,4679
2011-05-28,Summer,2011,May,0,6,0,Clear/Cloudy,4758
2011-05-29,Summer,2011,May,0,0,0,Clear/Cloudy,4788
2011-05-30,Summer,2011,May,1,1,0,Clear/Cloudy,4098
2011-05-31,Summer,2011,May,0,2,1,Clear/Cloudy,3982
2011-06-01,Summer,2011,Jun,0,3,1,Mist/Overcast,3974
2011-06-02,Summer,2011,Jun,0,4,1,Clear/Cloudy,4968
2011-06-03,Summer,2011,Jun,0,5,1,Clear/Cloudy,5312
2011-06-04,Summer,2011,Jun,0,6,0,Clear/Cloudy,5342
2011-06-05,Summer,2011,Jun,0,0,0,Mist/Overcast,4906
2011-06-06,Summer,2011,Jun,0,1,1,Clear/Cloudy,4548
2011-06-07,Summer,2011,Jun,0,2,1,Clear/Cloudy,4833
2011-06-08,Summer,2011,Jun,0,3,1,Clear/Cloudy,4401
2011-06-09,Summer,2011,Jun,0,4,1,Mist/Overcast,3915
